,file,ft_0_accuracy,ft_0_precision,ft_0_recall,ft_0_roc_auc,ft_4_accuracy,ft_4_precision,ft_4_recall,ft_4_roc_auc,ft_5_accuracy,ft_5_precision,ft_5_recall,ft_5_roc_auc
0,PruebasMuseo_21668001.set,0.6222222222222222,0.2840909090909091,0.8333333333333334,0.7268888888888889,0.75,0.3770491803278688,0.7666666666666667,0.8633333333333333,0.6277777777777778,0.27710843373493976,0.7666666666666667,0.732
1,PruebasMuseo_27157001.set,0.5888888888888889,0.2441860465116279,0.7,0.7166666666666667,0.8,0.44642857142857145,0.8333333333333334,0.8891111111111111,0.6111111111111112,0.2619047619047619,0.7333333333333333,0.728
2,PruebasMuseo_13235001.set,0.55,0.21348314606741572,0.6333333333333333,0.6493333333333333,0.7333333333333333,0.3448275862068966,0.6666666666666666,0.8244444444444444,0.5611111111111111,0.21176470588235294,0.6,0.6502222222222223
3,PruebasMuseo_31056001.set,0.5944444444444444,0.25842696629213485,0.7666666666666667,0.7031111111111111,0.7777777777777778,0.3958333333333333,0.6333333333333333,0.8271111111111111,0.6166666666666667,0.25925925925925924,0.7,0.6884444444444444
4,PruebasMuseo_9809001.set,0.6055555555555555,0.25301204819277107,0.7,0.6813333333333333,0.85,0.5333333333333333,0.8,0.9059999999999999,0.6111111111111112,0.25609756097560976,0.7,0.6922222222222223
5,PruebasMuseo_25302001.set,0.5666666666666667,0.23333333333333334,0.7,0.6826666666666666,0.7666666666666667,0.3888888888888889,0.7,0.8635555555555556,0.5722222222222222,0.23595505617977527,0.7,0.68
6,PruebasMuseo_18046001.set,0.5111111111111111,0.21,0.7,0.6444444444444444,0.5777777777777777,0.2653061224489796,0.8666666666666667,0.802,0.5611111111111111,0.23076923076923078,0.7,0.6506666666666666
7,PruebasMuseo_16943001.set,0.6,0.2558139534883721,0.7333333333333333,0.6933333333333334,0.7555555555555555,0.38333333333333336,0.7666666666666667,0.848,0.6111111111111112,0.2619047619047619,0.7333333333333333,0.6802222222222222
8,PruebasMuseo_7488001.set,0.5388888888888889,0.2268041237113402,0.7333333333333333,0.6791111111111111,0.75,0.3880597014925373,0.8666666666666667,0.8937777777777778,0.5555555555555556,0.22826086956521738,0.7,0.6813333333333333
9,PruebasMuseo_12168001.set,0.6111111111111112,0.26744186046511625,0.7666666666666667,0.7442222222222222,0.8222222222222222,0.4772727272727273,0.7,0.8535555555555555,0.6111111111111112,0.26744186046511625,0.7666666666666667,0.7539999999999999
